"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C2","1","470pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C3","1","220nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C4,C5,C8,C11","4","100nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C6","1","1nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C9,C10","2","22pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"C12,C13","2","100uF","","","","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm",""
"C_Low_pass1","1","x pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D1","1","D","","","","Diode_THT:D_5W_P10.16mm_Horizontal",""
"D2","1","D_Zener","","","","Diode_THT:D_5W_P10.16mm_Horizontal",""
"D3","1","PRTR5V0U2X","","","","Package_TO_SOT_SMD:SOT-143_Handsoldering","https://assets.nexperia.com/documents/data-sheet/PRTR5V0U2X.pdf"
"D4,D5","2","D_Zener","","","","Diode_SMD:D_SOD-123",""
"F1","1","Fuse","","","","pi-III-lib:fuse_holder",""
"J1,J2","2","RJ45_Shielded","","","","pi-III-lib:TE_RJ45-8N-B",""
"J3","1","2edgrc","","","","pi-III-lib:2EDRC_4pins",""
"L1","1","5u6H","","","","pi-III-lib:ASPI0630LR5R6MT15",""
"MAX1,MAX2,MAX3","3","max31865_adafruit","","","","pi-III-lib:max31868_module",""
"MIC1","1","STM32F401","","","","pi-III-lib:BlackPill",""
"PS1","1","RS3K-2412DZ_H3","","","","pi-III-lib:RS3K2412DZH3","https://recom-power.com/pdf/Econoline/RS3K(-Z).pdf"
"R1,R2,R3","3","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"R4,R5,R6,R7,R9,R10","6","100k","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R8,R14","2","33","","","","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"R13","1","4k7","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R15","1","0R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R_Low_pass1","1","xk","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"U2","1","LM7805","","","","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"U3","1","TLV2376IDGKR","","","","Package_SO:VSSOP-8_3x3mm_P0.65mm",""
"U4","1","MCP2515-xSO","","","","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21801e.pdf"
"U5","1","MCP2551-I-SN","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/devicedoc/21667d.pdf"
"Y1","1","16MHz","","","","Crystal:Crystal_HC50_Vertical",""
